id,weeklySales
1_1_2012-11-02,25717.27160000001
1_2_2012-11-02,49396.38430000003
1_3_2012-11-02,16386.0388
1_4_2012-11-02,42687.5383
1_5_2012-11-02,36445.473499999986
1_6_2012-11-02,6122.511400000002
1_7_2012-11-02,21808.6306
1_8_2012-11-02,39805.54540000002
1_9_2012-11-02,38167.183299999975
1_10_2012-11-02,31304.477000000003
1_11_2012-11-02,24393.328799999996
1_12_2012-11-02,9465.779299999995
1_13_2012-11-02,44524.50499999999
1_14_2012-11-02,19056.702499999996
1_16_2012-11-02,6651.769099999998
1_17_2012-11-02,8697.725600000003
1_18_2012-11-02,14714.751499999988
1_19_2012-11-02,1334.1816999999999
1_20_2012-11-02,4990.303000000003
1_21_2012-11-02,7603.777500000001
1_22_2012-11-02,8762.644200000002
1_23_2012-11-02,23598.791199999992
1_24_2012-11-02,7874.750499999995
1_25_2012-11-02,10722.278399999996
1_26_2012-11-02,8433.822100000005
1_27_2012-11-02,2048.3074000000006
1_28_2012-11-02,763.5864
1_29_2012-11-02,5099.778999999999
1_30_2012-11-02,2781.9969999999985
1_31_2012-11-02,1809.1043999999993
1_32_2012-11-02,7046.4316
1_33_2012-11-02,6161.1587999999965
1_34_2012-11-02,12676.017999999996
1_35_2012-11-02,2339.8287
1_36_2012-11-02,1927.4032
1_37_2012-11-02,2774.0176000000006
1_38_2012-11-02,84944.27839999997
1_40_2012-11-02,60097.02369999996
1_41_2012-11-02,2636.8979
1_42_2012-11-02,7793.487699999993
1_44_2012-11-02,5413.708799999998
1_46_2012-11-02,18698.617400000003
1_48_2012-11-02,2405.2882
1_49_2012-11-02,9385.996699999996
1_52_2012-11-02,2260.9341000000004
1_55_2012-11-02,18998.5656
1_56_2012-11-02,1189.6935999999996
1_58_2012-11-02,4810.378199999999
1_59_2012-11-02,575.1173000000003
1_60_2012-11-02,1108.1400000000006
1_67_2012-11-02,6358.7964
1_71_2012-11-02,4174.168300000002
1_72_2012-11-02,62466.40310000002
1_74_2012-11-02,10278.853299999993
1_79_2012-11-02,36945.48539999998
1_80_2012-11-02,19942.142899999984
1_81_2012-11-02,31159.899400000006
1_82_2012-11-02,21129.83360000001
1_83_2012-11-02,5745.424199999998
1_85_2012-11-02,3247.3599999999988
1_87_2012-11-02,56984.32589999995
1_90_2012-11-02,94619.02570000007
1_91_2012-11-02,66548.58970000004
1_92_2012-11-02,152299.12500000003
1_93_2012-11-02,79276.8945
1_94_2012-11-02,62152.38639999998
1_95_2012-11-02,113167.3585
1_96_2012-11-02,37255.2472
1_97_2012-11-02,36256.622300000025
1_98_2012-11-02,13663.384200000002
1_99_2012-11-02,309.7693
1_1_2012-11-09,24344.515400000015
1_2_2012-11-09,49304.10279999999
1_3_2012-11-09,16479.724600000005
1_4_2012-11-09,43377.335600000006
1_5_2012-11-09,37335.471300000005
